,open,high,low,close,adjclose,volume,ticker
2021-09-13,45240.0,46945.0,43310.0,44815.0,44815.0,7363.0,BTC=F
2021-09-14,45215.0,47025.0,44705.0,46515.0,46515.0,3802.0,BTC=F
2021-09-15,46700.0,48510.0,46635.0,48190.0,48190.0,3080.0,BTC=F
2021-09-16,48270.0,48600.0,47050.0,47495.0,47495.0,4538.0,BTC=F
2021-09-17,47600.0,48225.0,46670.0,47490.0,47490.0,3893.0,BTC=F
2021-09-20,47415.0,47620.0,42365.0,43780.0,43780.0,8330.0,BTC=F
2021-09-21,43410.0,43870.0,40085.0,42030.0,42030.0,8523.0,BTC=F
2021-09-22,41330.0,44025.0,40145.0,43385.0,43385.0,7828.0,BTC=F
2021-09-23,43255.0,44970.0,43095.0,44785.0,44785.0,5357.0,BTC=F
2021-09-24,44790.0,45115.0,40855.0,42359.3984375,42359.3984375,11471.0,BTC=F
2021-09-27,43635.0,44580.0,42770.0,43150.0,43150.0,5221.0,BTC=F
2021-09-28,43215.0,43555.0,41145.0,41600.0,41600.0,4666.0,BTC=F
2021-09-29,41890.0,42735.0,40785.0,41155.0,41155.0,3694.0,BTC=F
2021-09-30,41240.0,44175.0,41040.0,43615.0,43615.0,4869.0,BTC=F
2021-10-01,43735.0,48705.0,43330.0,48390.0,48390.0,9404.0,BTC=F
2021-10-04,48070.0,50000.0,47180.0,49855.0,49855.0,5865.0,BTC=F
2021-10-05,49310.0,52165.0,49100.0,51630.0,51630.0,8408.0,BTC=F
2021-10-06,52165.0,55935.0,50855.0,55700.0,55700.0,9662.0,BTC=F
2021-10-07,55580.0,56325.0,53855.0,54470.0,54470.0,5323.0,BTC=F
2021-10-08,54925.0,56815.0,54155.0,55180.0,55180.0,5063.0,BTC=F
2021-10-11,55330.0,58355.0,54820.0,57990.0,57990.0,5686.0,BTC=F
2021-10-12,57700.0,58215.0,54370.0,55815.0,55815.0,6691.0,BTC=F
2021-10-13,56350.0,57950.0,54700.0,57750.0,57750.0,6939.0,BTC=F
2021-10-14,57700.0,59025.0,57190.0,58195.0,58195.0,6318.0,BTC=F
2021-10-15,58150.0,63525.0,57250.0,62075.0,62075.0,11665.0,BTC=F
2021-10-18,61120.0,63230.0,60100.0,61650.0,61650.0,10019.0,BTC=F
2021-10-19,61905.0,64780.0,61730.0,64660.0,64660.0,15283.0,BTC=F
2021-10-20,64490.0,67680.0,63830.0,66665.0,66665.0,15201.0,BTC=F
2021-10-21,66160.0,66960.0,62140.0,62910.0,62910.0,15609.0,BTC=F
2021-10-22,62890.0,63950.0,60210.0,61080.0,61080.0,10125.0,BTC=F
2021-10-25,61080.0,63865.0,60820.0,62725.0,62725.0,7184.0,BTC=F
2021-10-26,62855.0,63345.0,61810.0,61975.0,61975.0,7404.0,BTC=F
2021-10-27,61255.0,61450.0,57855.0,59065.0,59065.0,12927.0,BTC=F
2021-10-28,58790.0,62400.0,57855.0,61335.0,61335.0,9715.0,BTC=F
2021-10-29,61295.0,62030.0,60220.0,61149.30078125,61149.30078125,6361.0,BTC=F
2021-11-01,61995.0,62850.0,59700.0,61615.0,61615.0,4979.0,BTC=F
2021-11-02,61010.0,64665.0,60900.0,64015.0,64015.0,5238.0,BTC=F
2021-11-03,63580.0,63965.0,60945.0,63065.0,63065.0,5495.0,BTC=F
2021-11-04,63450.0,63475.0,60860.0,61360.0,61360.0,5009.0,BTC=F
2021-11-05,61435.0,62865.0,60905.0,61380.0,61380.0,3534.0,BTC=F
2021-11-08,62910.0,67035.0,62905.0,66485.0,66485.0,6018.0,BTC=F
2021-11-09,66715.0,69000.0,66480.0,67625.0,67625.0,5457.0,BTC=F
2021-11-10,67670.0,69355.0,63020.0,66075.0,66075.0,7709.0,BTC=F
2021-11-11,65210.0,65895.0,64340.0,65055.0,65055.0,3912.0,BTC=F
2021-11-12,65400.0,65720.0,62385.0,64235.0,64235.0,6895.0,BTC=F
2021-11-15,64625.0,66555.0,63415.0,63910.0,63910.0,5438.0,BTC=F
2021-11-16,63955.0,64025.0,58515.0,59730.0,59730.0,9161.0,BTC=F
2021-11-17,60700.0,60890.0,58475.0,60485.0,60485.0,6300.0,BTC=F
2021-11-18,59980.0,61035.0,56600.0,58015.0,58015.0,9180.0,BTC=F
2021-11-19,56450.0,58410.0,55600.0,57900.0,57900.0,8253.0,BTC=F
2021-11-22,59100.0,59645.0,55585.0,55815.0,55815.0,11800.0,BTC=F
2021-11-23,56575.0,57940.0,55375.0,57855.0,57855.0,9700.0,BTC=F
2021-11-24,57650.0,57765.0,55825.0,57415.0,57415.0,10085.0,BTC=F
2021-11-25,57000.0,59470.0,56980.0,59275.0,59275.0,10085.0,BTC=F
2021-11-26,57000.0,59470.0,53625.0,54465.69921875,54465.69921875,11541.0,BTC=F
2021-11-29,56290.0,59285.0,56290.0,58470.0,58470.0,5946.0,BTC=F
2021-11-30,58530.0,59680.0,56145.0,57780.0,57780.0,7792.0,BTC=F
2021-12-01,57660.0,59545.0,56650.0,56990.0,56990.0,6552.0,BTC=F
2021-12-02,57305.0,57705.0,55990.0,57175.0,57175.0,5835.0,BTC=F
2021-12-03,57030.0,57945.0,51585.0,53545.0,53545.0,11175.0,BTC=F
2021-12-06,49265.0,50730.0,47215.0,48960.0,48960.0,9344.0,BTC=F
2021-12-07,50745.0,52195.0,50360.0,50600.0,50600.0,4985.0,BTC=F
2021-12-08,50600.0,51370.0,48645.0,50925.0,50925.0,4851.0,BTC=F
2021-12-09,50400.0,50940.0,47345.0,47675.0,47675.0,5159.0,BTC=F
2021-12-10,47940.0,50265.0,47325.0,48490.0,48490.0,6036.0,BTC=F
2021-12-13,50205.0,50480.0,45700.0,46595.0,46595.0,6827.0,BTC=F
2021-12-14,46950.0,48700.0,46295.0,47870.0,47870.0,5871.0,BTC=F
2021-12-15,48350.0,49605.0,46570.0,49350.0,49350.0,8301.0,BTC=F
2021-12-16,48940.0,49500.0,47595.0,48010.0,48010.0,5529.0,BTC=F
2021-12-17,47870.0,48010.0,45415.0,46250.0,46250.0,4533.0,BTC=F
2021-12-20,47280.0,47555.0,45515.0,47060.0,47060.0,4303.0,BTC=F
2021-12-21,46835.0,49390.0,46710.0,48685.0,48685.0,3998.0,BTC=F
2021-12-22,49280.0,49635.0,48500.0,49045.0,49045.0,2811.0,BTC=F
2021-12-23,49085.0,51470.0,48035.0,51060.0,51060.0,4756.0,BTC=F
2021-12-27,51040.0,52200.0,50520.0,51275.0,51275.0,5511.0,BTC=F
2021-12-28,51025.0,51045.0,47300.0,47755.0,47755.0,7868.0,BTC=F
2021-12-29,47585.0,48095.0,46550.0,47370.0,47370.0,6913.0,BTC=F
2021-12-30,47230.0,47970.0,45880.0,47170.0,47170.0,6480.0,BTC=F
